games                                      ,country ,sport ,gold ,silver ,bronze ,men ,women
1896_athens_olympics                       ,AUS     ,ATH   ,   2 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,DEN     ,ATH   ,   0 ,     0 ,     0 ,  3 ,    0
1896_athens_olympics                       ,FRA     ,ATH   ,   0 ,     1 ,     1 ,  5 ,    0
1896_athens_olympics                       ,GBR     ,ATH   ,   0 ,     1 ,     1 ,  5 ,    0
1896_athens_olympics                       ,GER     ,ATH   ,   0 ,     1 ,     0 ,  5 ,    0
1896_athens_olympics                       ,GRE     ,ATH   ,   1 ,     3 ,     6 , 30 ,    0
1896_athens_olympics                       ,HUN     ,ATH   ,   0 ,     1 ,     2 ,  3 ,    0
1896_athens_olympics                       ,SWE     ,ATH   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,USA     ,ATH   ,   9 ,     6 ,     2 , 10 ,    0
1896_athens_olympics                       ,AUS     ,TEN   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,FRA     ,TEN   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GBR     ,TEN   ,   1 ,     0 ,     0 ,  2 ,    0
1896_athens_olympics                       ,GER     ,TEN   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GRE     ,TEN   ,   0 ,     2 ,     1 ,  7 ,    0
1896_athens_olympics                       ,HUN     ,TEN   ,   0 ,     0 ,     1 ,  1 ,    0
1896_athens_olympics                       ,MIX     ,TEN   ,   1 ,     0 ,     1 ,  0 ,    0
1896_athens_olympics                       ,AUT     ,CTR   ,   1 ,     0 ,     2 ,  1 ,    0
1896_athens_olympics                       ,FRA     ,CTR   ,   4 ,     1 ,     1 ,  2 ,    0
1896_athens_olympics                       ,GBR     ,CTR   ,   0 ,     1 ,     0 ,  2 ,    0
1896_athens_olympics                       ,GER     ,CTR   ,   0 ,     0 ,     0 ,  4 ,    0
1896_athens_olympics                       ,GRE     ,CTR   ,   0 ,     3 ,     0 ,  7 ,    0
1896_athens_olympics                       ,AUT     ,FEN   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,DEN     ,FEN   ,   0 ,     0 ,     1 ,  1 ,    0
1896_athens_olympics                       ,FRA     ,FEN   ,   1 ,     2 ,     0 ,  4 ,    0
1896_athens_olympics                       ,GRE     ,FEN   ,   2 ,     1 ,     2 ,  9 ,    0
1896_athens_olympics                       ,AUT     ,SWM   ,   1 ,     1 ,     0 ,  2 ,    0
1896_athens_olympics                       ,GRE     ,SWM   ,   1 ,     3 ,     2 ,  9 ,    0
1896_athens_olympics                       ,HUN     ,SWM   ,   2 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,USA     ,SWM   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,BUL     ,GAR   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,DEN     ,GAR   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,FRA     ,GAR   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GBR     ,GAR   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GER     ,GAR   ,   5 ,     3 ,     2 , 11 ,    0
1896_athens_olympics                       ,GRE     ,GAR   ,   2 ,     2 ,     2 ,  9 ,    0
1896_athens_olympics                       ,HUN     ,GAR   ,   0 ,     0 ,     0 ,  2 ,    0
1896_athens_olympics                       ,SUI     ,GAR   ,   1 ,     2 ,     0 ,  1 ,    0
1896_athens_olympics                       ,SWE     ,GAR   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,DEN     ,SHO   ,   0 ,     1 ,     2 ,  3 ,    0
1896_athens_olympics                       ,FRA     ,SHO   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GBR     ,SHO   ,   0 ,     0 ,     0 ,  2 ,    0
1896_athens_olympics                       ,GRE     ,SHO   ,   3 ,     3 ,     3 , 27 ,    0
1896_athens_olympics                       ,ITA     ,SHO   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,SUI     ,SHO   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,USA     ,SHO   ,   2 ,     1 ,     0 ,  3 ,    0
1896_athens_olympics                       ,DEN     ,WLF   ,   1 ,     1 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GBR     ,WLF   ,   1 ,     1 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GER     ,WLF   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GRE     ,WLF   ,   0 ,     0 ,     2 ,  3 ,    0
1896_athens_olympics                       ,HUN     ,WLF   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GBR     ,CRD   ,   0 ,     0 ,     1 ,  1 ,    0
1896_athens_olympics                       ,GER     ,CRD   ,   0 ,     1 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GRE     ,CRD   ,   1 ,     0 ,     0 ,  5 ,    0
1896_athens_olympics                       ,GBR     ,WRE   ,   0 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GER     ,WRE   ,   1 ,     0 ,     0 ,  1 ,    0
1896_athens_olympics                       ,GRE     ,WRE   ,   0 ,     1 ,     1 ,  2 ,    0
1896_athens_olympics                       ,HUN     ,WRE   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,ARG     ,FEN   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,AUT     ,FEN   ,   0 ,     0 ,     2 ,  7 ,    0
1900_paris_olympics                        ,BEL     ,FEN   ,   0 ,     0 ,     0 ,  5 ,    0
1900_paris_olympics                        ,CUB     ,FEN   ,   1 ,     1 ,     0 ,  1 ,    0
1900_paris_olympics                        ,DEN     ,FEN   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,ESP     ,FEN   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,FRA     ,FEN   ,   5 ,     5 ,     5 ,210 ,    0
1900_paris_olympics                        ,GBR     ,FEN   ,   0 ,     0 ,     0 ,  3 ,    0
1900_paris_olympics                        ,GER     ,FEN   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,HAI     ,FEN   ,   0 ,     0 ,     0 ,  2 ,    0
1900_paris_olympics                        ,HUN     ,FEN   ,   0 ,     0 ,     0 ,  7 ,    0
1900_paris_olympics                        ,IRI     ,FEN   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,ITA     ,FEN   ,   1 ,     1 ,     0 ,  8 ,    0
1900_paris_olympics                        ,NED     ,FEN   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,PER     ,FEN   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,RUS     ,FEN   ,   0 ,     0 ,     0 ,  2 ,    0
1900_paris_olympics                        ,SUI     ,FEN   ,   0 ,     0 ,     0 ,  3 ,    0
1900_paris_olympics                        ,SWE     ,FEN   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,USA     ,FEN   ,   0 ,     0 ,     0 ,  3 ,    0
1900_paris_olympics                        ,AUS     ,ATH   ,   0 ,     0 ,     3 ,  1 ,    0
1900_paris_olympics                        ,AUT     ,ATH   ,   0 ,     0 ,     0 ,  2 ,    0
1900_paris_olympics                        ,BOH     ,ATH   ,   0 ,     1 ,     0 ,  4 ,    0
1900_paris_olympics                        ,DEN     ,ATH   ,   0 ,     0 ,     1 ,  4 ,    0
1900_paris_olympics                        ,FRA     ,ATH   ,   1 ,     4 ,     2 , 23 ,    0
1900_paris_olympics                        ,GBR     ,ATH   ,   4 ,     3 ,     2 , 11 ,    0
1900_paris_olympics                        ,GER     ,ATH   ,   0 ,     0 ,     0 ,  6 ,    0
1900_paris_olympics                        ,GRE     ,ATH   ,   0 ,     0 ,     0 ,  2 ,    0
1900_paris_olympics                        ,HUN     ,ATH   ,   1 ,     0 ,     1 ,  9 ,    0
1900_paris_olympics                        ,IND     ,ATH   ,   0 ,     2 ,     0 ,  1 ,    0
1900_paris_olympics                        ,ITA     ,ATH   ,   0 ,     0 ,     0 ,  2 ,    0
1900_paris_olympics                        ,NOR     ,ATH   ,   0 ,     0 ,     1 ,  2 ,    0
1900_paris_olympics                        ,SWE     ,ATH   ,   0 ,     0 ,     1 ,  8 ,    0
1900_paris_olympics                        ,USA     ,ATH   ,  17 ,    13 ,    11 , 45 ,    0
1900_paris_olympics                        ,AUT     ,EDR   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,BEL     ,EDR   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,FRA     ,EDR   ,   1 ,     1 ,     1 , 19 ,    2
1900_paris_olympics                        ,ITA     ,EDR   ,   0 ,     0 ,     0 ,  0 ,    1
1900_paris_olympics                        ,RUS     ,EDR   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,AUT     ,EDV   ,   0 ,     0 ,     0 ,  2 ,    0
1900_paris_olympics                        ,BEL     ,EDV   ,   1 ,     0 ,     0 ,  7 ,    0
1900_paris_olympics                        ,ESP     ,EDV   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,FRA     ,EDV   ,   0 ,     1 ,     1 , 16 ,    0
1900_paris_olympics                        ,GER     ,EDV   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,RUS     ,EDV   ,   0 ,     0 ,     0 ,  2 ,    0
1900_paris_olympics                        ,AUT     ,EJP   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,BEL     ,EJP   ,   2 ,     1 ,     1 ,  6 ,    0
1900_paris_olympics                        ,FRA     ,EJP   ,   1 ,     0 ,     2 , 17 ,    0
1900_paris_olympics                        ,ITA     ,EJP   ,   1 ,     1 ,     0 ,  2 ,    0
# 1900_paris_olympics                      ,UNK     ,EJP   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,AUT     ,SWM   ,   0 ,     3 ,     1 ,  4 ,    0
1900_paris_olympics                        ,BEL     ,SWM   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,DEN     ,SWM   ,   0 ,     0 ,     1 ,  1 ,    0
1900_paris_olympics                        ,FRA     ,SWM   ,   1 ,     2 ,     2 , 48 ,    0
1900_paris_olympics                        ,GBR     ,SWM   ,   4 ,     0 ,     1 ,  7 ,    0
1900_paris_olympics                        ,GER     ,SWM   ,   2 ,     0 ,     0 ,  6 ,    0
1900_paris_olympics                        ,HUN     ,SWM   ,   0 ,     2 ,     1 ,  1 ,    0
1900_paris_olympics                        ,ITA     ,SWM   ,   0 ,     0 ,     0 ,  2 ,    0
1900_paris_olympics                        ,NED     ,SWM   ,   0 ,     0 ,     1 ,  4 ,    0
1900_paris_olympics                        ,SWE     ,SWM   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,USA     ,SWM   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,BEL     ,ARC   ,   3 ,     2 ,     2 ,  4 ,    0
1900_paris_olympics                        ,FRA     ,ARC   ,   4 ,     5 ,     4 , 14 ,    0
1900_paris_olympics                        ,NED     ,ARC   ,   0 ,     0 ,     0 ,  6 ,    0
1900_paris_olympics                        ,BEL     ,CTR   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,BOH     ,CTR   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,FRA     ,CTR   ,   2 ,     2 ,     2 , 59 ,    0
1900_paris_olympics                        ,GER     ,CTR   ,   0 ,     1 ,     0 ,  3 ,    0
1900_paris_olympics                        ,ITA     ,CTR   ,   1 ,     0 ,     0 ,  7 ,    0
1900_paris_olympics                        ,USA     ,CTR   ,   0 ,     0 ,     1 ,  1 ,    0
1900_paris_olympics                        ,BEL     ,FBL   ,   0 ,     0 ,     1 , 11 ,    0
1900_paris_olympics                        ,FRA     ,FBL   ,   0 ,     1 ,     0 , 13 ,    0
1900_paris_olympics                        ,GBR     ,FBL   ,   1 ,     0 ,     0 , 11 ,    0
1900_paris_olympics                        ,BEL     ,GAR   ,   0 ,     0 ,     0 ,  2 ,    0
1900_paris_olympics                        ,BOH     ,GAR   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,FRA     ,GAR   ,   1 ,     1 ,     1 ,108 ,    0
1900_paris_olympics                        ,GBR     ,GAR   ,   0 ,     0 ,     0 ,  5 ,    0
1900_paris_olympics                        ,GER     ,GAR   ,   0 ,     0 ,     0 , 14 ,    0
1900_paris_olympics                        ,HUN     ,GAR   ,   0 ,     0 ,     0 ,  2 ,    0
1900_paris_olympics                        ,ITA     ,GAR   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,SUI     ,GAR   ,   0 ,     0 ,     0 ,  2 ,    0
1900_paris_olympics                        ,BEL     ,ROW   ,   0 ,     1 ,     0 ,  9 ,    0
1900_paris_olympics                        ,ESP     ,ROW   ,   0 ,     0 ,     0 ,  5 ,    0
1900_paris_olympics                        ,FRA     ,ROW   ,   2 ,     3 ,     1 , 41 ,    0
1900_paris_olympics                        ,GBR     ,ROW   ,   0 ,     0 ,     1 ,  1 ,    0
1900_paris_olympics                        ,GER     ,ROW   ,   1 ,     0 ,     2 , 21 ,    0
1900_paris_olympics                        ,NED     ,ROW   ,   1 ,     1 ,     1 , 13 ,    0
1900_paris_olympics                        ,USA     ,ROW   ,   1 ,     0 ,     0 ,  9 ,    0
1900_paris_olympics                        ,BEL     ,SHO   ,   0 ,     1 ,     2 , 11 ,    0
1900_paris_olympics                        ,DEN     ,SHO   ,   1 ,     3 ,     0 ,  5 ,    0
1900_paris_olympics                        ,FRA     ,SHO   ,   2 ,     2 ,     2 , 32 ,    0
1900_paris_olympics                        ,GBR     ,SHO   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,NED     ,SHO   ,   0 ,     0 ,     1 ,  7 ,    0
1900_paris_olympics                        ,NOR     ,SHO   ,   0 ,     2 ,     2 ,  5 ,    0
1900_paris_olympics                        ,ROU     ,SHO   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,SUI     ,SHO   ,   5 ,     1 ,     1 , 10 ,    0
1900_paris_olympics                        ,BEL     ,WPO   ,   0 ,     1 ,     0 , 10 ,    0
1900_paris_olympics                        ,FRA     ,WPO   ,   0 ,     0 ,     2 , 29 ,    0
1900_paris_olympics                        ,GBR     ,WPO   ,   1 ,     0 ,     0 ,  7 ,    0
1900_paris_olympics                        ,GER     ,WPO   ,   0 ,     0 ,     0 ,  7 ,    0
1900_paris_olympics                        ,BOH     ,TEN   ,   0 ,     0 ,     1 ,  0 ,    1
1900_paris_olympics                        ,FRA     ,TEN   ,   0 ,     1 ,     1 , 14 ,    3
1900_paris_olympics                        ,GBR     ,TEN   ,   4 ,     1 ,     3 ,  4 ,    1
1900_paris_olympics                        ,USA     ,TEN   ,   0 ,     0 ,     1 ,  1 ,    2
1900_paris_olympics                        ,MIX     ,TEN   ,   0 ,     2 ,     2 ,  0 ,    0
1900_paris_olympics                        ,DEN     ,TOW   ,   0 ,     0 ,     0 ,  3 ,    0
1900_paris_olympics                        ,FRA     ,TOW   ,   0 ,     1 ,     0 ,  6 ,    0
1900_paris_olympics                        ,SWE     ,TOW   ,   0 ,     0 ,     0 ,  3 ,    0
1900_paris_olympics                        ,MIX     ,TOW   ,   1 ,     0 ,     0 ,  0 ,    0
1900_paris_olympics                        ,ESP     ,PEL   ,   1 ,     0 ,     0 ,  2 ,    0
1900_paris_olympics                        ,FRA     ,CKT   ,   0 ,     1 ,     0 , 12 ,    0
1900_paris_olympics                        ,GBR     ,CKT   ,   1 ,     0 ,     0 , 12 ,    0
1900_paris_olympics                        ,FRA     ,CQT   ,   3 ,     2 ,     2 ,  7 ,    3
1900_paris_olympics                        ,FRA     ,GLF   ,   0 ,     0 ,     1 ,  6 ,    7
1900_paris_olympics                        ,GBR     ,GLF   ,   0 ,     1 ,     1 ,  4 ,    0
1900_paris_olympics                        ,SUI     ,GLF   ,   0 ,     1 ,     0 ,  0 ,    1
1900_paris_olympics                        ,USA     ,GLF   ,   2 ,     0 ,     0 ,  2 ,    2
1900_paris_olympics                        ,FRA     ,POL   ,   0 ,     0 ,     1 ,  7 ,    0
1900_paris_olympics                        ,GBR     ,POL   ,   1 ,     1 ,     0 ,  9 ,    0
1900_paris_olympics                        ,MEX     ,POL   ,   0 ,     0 ,     0 ,  3 ,    0
1900_paris_olympics                        ,USA     ,POL   ,   0 ,     0 ,     0 ,  1 ,    0
1900_paris_olympics                        ,MIX     ,POL   ,   0 ,     0 ,     1 ,  0 ,    0
1900_paris_olympics                        ,FRA     ,RUG   ,   1 ,     0 ,     0 , 17 ,    0
1900_paris_olympics                        ,GBR     ,RUG   ,   0 ,     1 ,     0 , 15 ,    0
1900_paris_olympics                        ,GER     ,RUG   ,   0 ,     1 ,     0 , 15 ,    0
1900_paris_olympics                        ,FRA     ,SAL   ,   7 ,     9 ,    10 , 74 ,    0
1900_paris_olympics                        ,GBR     ,SAL   ,   4 ,     1 ,     1 ,  9 ,    0
1900_paris_olympics                        ,GER     ,SAL   ,   1 ,     1 ,     0 ,  5 ,    0
1900_paris_olympics                        ,NED     ,SAL   ,   0 ,     1 ,     0 ,  3 ,    0
1900_paris_olympics                        ,SUI     ,SAL   ,   1 ,     1 ,     0 ,  2 ,    1
1900_paris_olympics                        ,USA     ,SAL   ,   0 ,     0 ,     2 ,  3 ,    0
1904_st-louis_olympics                     ,AUS     ,ATH   ,   0 ,     0 ,     0 ,  1 ,    0
1904_st-louis_olympics                     ,CAN     ,ATH   ,   1 ,     0 ,     0 ,  5 ,    0
1904_st-louis_olympics                     ,CUB     ,ATH   ,   0 ,     0 ,     0 ,  1 ,    0
1904_st-louis_olympics                     ,GBR     ,ATH   ,   1 ,     1 ,     0 ,  2 ,    0
1904_st-louis_olympics                     ,GER     ,ATH   ,   0 ,     0 ,     1 ,  2 ,    0
1904_st-louis_olympics                     ,GRE     ,ATH   ,   0 ,     0 ,     1 , 10 ,    0
1904_st-louis_olympics                     ,HUN     ,ATH   ,   0 ,     0 ,     0 ,  2 ,    0
1904_st-louis_olympics                     ,RSA     ,ATH   ,   0 ,     0 ,     0 ,  3 ,    0
1904_st-louis_olympics                     ,USA     ,ATH   ,  22 ,    23 ,    21 , 90 ,    0
1904_st-louis_olympics                     ,CAN     ,FBL   ,   1 ,     0 ,     0 , 13 ,    0
1904_st-louis_olympics                     ,USA     ,FBL   ,   0 ,     1 ,     1 , 23 ,    0
1904_st-louis_olympics                     ,CAN     ,GLF   ,   1 ,     0 ,     0 ,  3 ,    0
1904_st-louis_olympics                     ,GBR     ,GLF   ,   0 ,     0 ,     0 ,  1 ,    0
1904_st-louis_olympics                     ,USA     ,GLF   ,   1 ,     2 ,     3 , 73 ,    0
1904_st-louis_olympics                     ,CAN     ,LAX   ,   1 ,     0 ,     1 , 24 ,    0
1904_st-louis_olympics                     ,USA     ,LAX   ,   0 ,     1 ,     0 , 12 ,    0
1904_st-louis_olympics                     ,CAN     ,ROW   ,   0 ,     1 ,     0 ,  9 ,    0
1904_st-louis_olympics                     ,USA     ,ROW   ,   5 ,     4 ,     4 , 35 ,    0
1904_st-louis_olympics                     ,CUB     ,FEN   ,   3 ,     0 ,     0 ,  2 ,    0
1904_st-louis_olympics                     ,GBR     ,FEN   ,   0 ,     0 ,     0 ,  1 ,    0
1904_st-louis_olympics                     ,GER     ,FEN   ,   0 ,     0 ,     0 ,  1 ,    0
1904_st-louis_olympics                     ,USA     ,FEN   ,   1 ,     5 ,     4 ,  7 ,    0
1904_st-louis_olympics                     ,MIX     ,FEN   ,   1 ,     0 ,     0 ,  0 ,    0
1904_st-louis_olympics                     ,GER     ,DIV   ,   0 ,     1 ,     0 ,  3 ,    0
1904_st-louis_olympics                     ,USA     ,DIV   ,   1 ,     0 ,     1 ,  2 ,    0
1904_st-louis_olympics                     ,GER     ,GAR   ,   1 ,     1 ,     2 ,  8 ,    0
1904_st-louis_olympics                     ,USA     ,GAR   ,  13 ,     9 ,    10 ,113 ,    0
1904_st-louis_olympics                     ,GER     ,SWM   ,   4 ,     2 ,     2 ,  4 ,    0
1904_st-louis_olympics                     ,HUN     ,SWM   ,   2 ,     1 ,     1 ,  2 ,    0
1904_st-louis_olympics                     ,USA     ,SWM   ,   4 ,     7 ,     7 , 26 ,    0
1904_st-louis_olympics                     ,GER     ,TEN   ,   0 ,     0 ,     0 ,  1 ,    0
1904_st-louis_olympics                     ,USA     ,TEN   ,   2 ,     2 ,     4 , 35 ,    0
1904_st-louis_olympics                     ,GRE     ,TOW   ,   0 ,     0 ,     0 ,  5 ,    0
1904_st-louis_olympics                     ,RSA     ,TOW   ,   0 ,     0 ,     0 ,  5 ,    0
1904_st-louis_olympics                     ,USA     ,TOW   ,   1 ,     1 ,     1 , 20 ,    0
1904_st-louis_olympics                     ,GRE     ,WLF   ,   1 ,     0 ,     0 ,  1 ,    0
1904_st-louis_olympics                     ,USA     ,WLF   ,   1 ,     2 ,     2 ,  4 ,    0
1904_st-louis_olympics                     ,ITA     ,CTR   ,   0 ,     0 ,     0 ,  1 ,    0
1904_st-louis_olympics                     ,USA     ,CTR   ,   7 ,     7 ,     7 , 17 ,    0
1904_st-louis_olympics                     ,USA     ,ARC   ,   6 ,     5 ,     5 , 23 ,    6
1904_st-louis_olympics                     ,USA     ,BOX   ,   7 ,     7 ,     4 , 18 ,    0
# 1904_st-louis_olympics                   ,USA     ,ROQ   ,   1 ,     1 ,     1 ,  4 ,    0
1904_st-louis_olympics                     ,USA     ,WPO   ,   1 ,     1 ,     1 , 21 ,    0
1904_st-louis_olympics                     ,USA     ,WRE   ,   7 ,     7 ,     7 , 42 ,    0
1908_london_olympics                       ,ANZ     ,ATH   ,   0 ,     0 ,     1 ,  9 ,    0
1908_london_olympics                       ,AUT     ,ATH   ,   0 ,     0 ,     0 ,  2 ,    0
1908_london_olympics                       ,BEL     ,ATH   ,   0 ,     0 ,     0 ,  6 ,    0
1908_london_olympics                       ,BOH     ,ATH   ,   0 ,     0 ,     0 ,  3 ,    0
1908_london_olympics                       ,CAN     ,ATH   ,   1 ,     1 ,     4 , 27 ,    0
1908_london_olympics                       ,DEN     ,ATH   ,   0 ,     0 ,     0 ,  8 ,    0
1908_london_olympics                       ,FIN     ,ATH   ,   0 ,     0 ,     1 , 15 ,    0
1908_london_olympics                       ,FRA     ,ATH   ,   0 ,     1 ,     1 , 19 ,    0
1908_london_olympics                       ,GBR     ,ATH   ,   7 ,     7 ,     3 ,126 ,    0
1908_london_olympics                       ,GER     ,ATH   ,   0 ,     1 ,     1 , 20 ,    0
1908_london_olympics                       ,GRE     ,ATH   ,   0 ,     3 ,     0 , 12 ,    0
1908_london_olympics                       ,HUN     ,ATH   ,   0 ,     1 ,     1 , 18 ,    0
1908_london_olympics                       ,ITA     ,ATH   ,   0 ,     1 ,     0 , 12 ,    0
1908_london_olympics                       ,NED     ,ATH   ,   0 ,     0 ,     0 , 19 ,    0
1908_london_olympics                       ,NOR     ,ATH   ,   0 ,     1 ,     2 , 11 ,    0
1908_london_olympics                       ,RSA     ,ATH   ,   1 ,     1 ,     0 ,  6 ,    0
1908_london_olympics                       ,RUS     ,ATH   ,   0 ,     0 ,     0 ,  1 ,    0
1908_london_olympics                       ,SUI     ,ATH   ,   0 ,     0 ,     0 ,  1 ,    0
1908_london_olympics                       ,SWE     ,ATH   ,   2 ,     0 ,     3 , 31 ,    0
1908_london_olympics                       ,USA     ,ATH   ,  16 ,    10 ,     8 , 84 ,    0
1908_london_olympics                       ,ANZ     ,BOX   ,   0 ,     1 ,     0 ,  1 ,    0
1908_london_olympics                       ,DEN     ,BOX   ,   0 ,     0 ,     0 ,  2 ,    0
1908_london_olympics                       ,FRA     ,BOX   ,   0 ,     0 ,     0 ,  7 ,    0
1908_london_olympics                       ,GBR     ,BOX   ,   5 ,     4 ,     5 , 32 ,    0
1908_london_olympics                       ,ANZ     ,DIV   ,   0 ,     0 ,     0 ,  1 ,    0
1908_london_olympics                       ,BEL     ,DIV   ,   0 ,     0 ,     0 ,  1 ,    0
1908_london_olympics                       ,CAN     ,DIV   ,   0 ,     0 ,     0 ,  1 ,    0
1908_london_olympics                       ,FIN     ,DIV   ,   0 ,     0 ,     0 ,  2 ,    0
1908_london_olympics                       ,GBR     ,DIV   ,   0 ,     0 ,     0 , 16 ,    0
1908_london_olympics                       ,GER     ,DIV   ,   1 ,     1 ,     1 ,  5 ,    0
1908_london_olympics                       ,ITA     ,DIV   ,   0 ,     0 ,     0 ,  1 ,    0
1908_london_olympics                       ,SWE     ,DIV   ,   1 ,     1 ,     1 , 10 ,    0
1908_london_olympics                       ,USA     ,DIV   ,   0 ,     0 ,     1 ,  2 ,    0
1908_london_olympics                       ,ANZ     ,RUG   ,   1 ,     0 ,     0 , 15 ,    0
1908_london_olympics                       ,GBR     ,RUG   ,   0 ,     1 ,     0 , 15 ,    0
1908_london_olympics                       ,ANZ     ,SHO   ,   0 ,     0 ,     0 ,  1 ,    0
1908_london_olympics                       ,BEL     ,SHO   ,   1 ,     2 ,     0 , 10 ,    0
1908_london_olympics                       ,CAN     ,SHO   ,   1 ,     2 ,     1 , 22 ,    0
1908_london_olympics                       ,DEN     ,SHO   ,   0 ,     0 ,     0 , 10 ,    0
1908_london_olympics                       ,FIN     ,SHO   ,   0 ,     0 ,     0 ,  9 ,    0
1908_london_olympics                       ,FRA     ,SHO   ,   0 ,     0 ,     2 , 20 ,    0
1908_london_olympics                       ,GBR     ,SHO   ,   6 ,     7 ,     8 , 67 ,    0
1908_london_olympics                       ,GER     ,SHO   ,   0 ,     0 ,     0 ,  1 ,    0
1908_london_olympics                       ,GRE     ,SHO   ,   0 ,     0 ,     1 ,  7 ,    0
1908_london_olympics                       ,HUN     ,SHO   ,   0 ,     0 ,     0 ,  2 ,    0
1908_london_olympics                       ,NED     ,SHO   ,   0 ,     0 ,     0 , 17 ,    0
1908_london_olympics                       ,NOR     ,SHO   ,   2 ,     0 ,     1 , 13 ,    0
1908_london_olympics                       ,SWE     ,SHO   ,   2 ,     2 ,     1 , 19 ,    0
1908_london_olympics                       ,USA     ,SHO   ,   3 ,     2 ,     1 , 17 ,    0
1908_london_olympics                       ,ANZ     ,SWM   ,   0 ,     1 ,     1 ,  5 ,    0
1908_london_olympics                       ,AUT     ,SWM   ,   0 ,     0 ,     1 ,  1 ,    0
1908_london_olympics                       ,BEL     ,SWM   ,   0 ,     0 ,     0 ,  7 ,    0
1908_london_olympics                       ,CAN     ,SWM   ,   0 ,     0 ,     0 ,  1 ,    0
1908_london_olympics                       ,DEN     ,SWM   ,   0 ,     1 ,     0 ,  5 ,    0
1908_london_olympics                       ,FIN     ,SWM   ,   0 ,     0 ,     0 ,  3 ,    0
1908_london_olympics                       ,FRA     ,SWM   ,   0 ,     0 ,     0 ,  4 ,    0
1908_london_olympics                       ,GBR     ,SWM   ,   4 ,     2 ,     1 , 28 ,    0
1908_london_olympics                       ,GER     ,SWM   ,   1 ,     0 ,     0 ,  5 ,    0
1908_london_olympics                       ,HUN     ,SWM   ,   0 ,     2 ,     0 , 10 ,    0
1908_london_olympics                       ,ITA     ,SWM   ,   0 ,     0 ,     0 ,  4 ,    0
1908_london_olympics                       ,NED     ,SWM   ,   0 ,     0 ,     0 ,  7 ,    0
1908_london_olympics                       ,SWE     ,SWM   ,   0 ,     0 ,     2 , 12 ,    0
