"code" ,"name"                                ,"flag"                                                                                                                                 ,"status"
"ITA"  ,"Italy"                               ,"https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/320px-Flag_of_Italy.svg.png"                                   ,"active"
"CIV"  ,"Ivory Coast"                         ,"https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg"                                                 ,"active"
"JAM"  ,"Jamaica"                             ,"https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg"                                                              ,"active"
"JPN"  ,"Japan"                               ,"https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/320px-Flag_of_Japan.svg.png"                                   ,"active"
"JOR"  ,"Jordan"                              ,"https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg"                                                               ,"active"
"KAZ"  ,"Kazakhstan"                          ,"https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kazakhstan.svg"                                                           ,"active"
"KEN"  ,"Kenya"                               ,"https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg"                                                                ,"active"
"KIR"  ,"Kiribati"                            ,"https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kiribati.svg"                                                             ,"active"
"KOS"  ,"Kosovo"                              ,"https://upload.wikimedia.org/wikipedia/commons/1/1f/Flag_of_Kosovo.svg"                                                               ,"active"
"KUW"  ,"Kuwait"                              ,"https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Kuwait.svg"                                                               ,"active"
"KGZ"  ,"Kyrgyzstan"                          ,"https://upload.wikimedia.org/wikipedia/commons/c/c7/Flag_of_Kyrgyzstan.svg"                                                           ,"active"
"LAO"  ,"Laos"                                ,"https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Laos.svg"                                                                 ,"active"
"LAT"  ,"Latvia"                              ,"https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg"                                                               ,"active"
"LBN"  ,"Lebanon"                             ,"https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg"                                                              ,"active"
"LES"  ,"Lesotho"                             ,"https://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_Lesotho.svg"                                                              ,"active"
"LBR"  ,"Liberia"                             ,"https://upload.wikimedia.org/wikipedia/commons/b/b8/Flag_of_Liberia.svg"                                                              ,"active"
"LBA"  ,"Libya"                               ,"https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Libya.svg"                                                                ,"active"
"LIE"  ,"Liechtenstein"                       ,"https://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Liechtenstein.svg"                                                        ,"active"
"LTU"  ,"Lithuania"                           ,"https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Lithuania.svg"                                                            ,"active"
"LUX"  ,"Luxembourg"                          ,"https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg"                                                           ,"active"
