game,sport,code,"event",gold,silver,bronze
beijing-2022,skeleton,SKN,"Women",GER,AUS,NED
beijing-2022,ski-jumping,SJP,"Men's LH Individual",NOR,JPN,GER
beijing-2022,ski-jumping,SJP,"Men's NH Individual",JPN,AUT,POL
beijing-2022,ski-jumping,SJP,"Men's Team",AUT,SLO,GER
beijing-2022,ski-jumping,SJP,"Mixed Team",SLO,ROC,CAN
beijing-2022,ski-jumping,SJP,"Women's NH Individual",SLO,GER,SLO
beijing-2022,snowboard,SBD,"Men's Parallel Giant Slalom",AUT,SLO,ROC
beijing-2022,snowboard,SBD,"Men's Snowboard Big Air",CHN,NOR,CAN
beijing-2022,snowboard,SBD,"Men's Snowboard Cross",AUT,CAN,ITA
beijing-2022,snowboard,SBD,"Men's Snowboard Halfpipe",JPN,AUS,SUI
beijing-2022,snowboard,SBD,"Men's Snowboard Slopestyle",CAN,CHN,CAN
beijing-2022,snowboard,SBD,"Mixed Team Snowboard Cross",USA,ITA,CAN
beijing-2022,snowboard,SBD,"Women's Parallel Giant Slalom",CZE,AUT,SLO
beijing-2022,snowboard,SBD,"Women's Snowboard Big Air",AUT,NZL,JPN
beijing-2022,snowboard,SBD,"Women's Snowboard Cross",USA,FRA,CAN
beijing-2022,snowboard,SBD,"Women's Snowboard Halfpipe",USA,ESP,JPN
beijing-2022,snowboard,SBD,"Women's Snowboard Slopestyle",NZL,USA,AUS
beijing-2022,speed-skating,SSK,"Men's 10000m",SWE,NED,ITA
beijing-2022,speed-skating,SSK,"Men's 1000m",NED,CAN,NOR
beijing-2022,speed-skating,SSK,"Men's 1500m",NED,NED,KOR
beijing-2022,speed-skating,SSK,"Men's 5000m",SWE,NED,NOR
beijing-2022,speed-skating,SSK,"Men's 500m",CHN,KOR,JPN
beijing-2022,speed-skating,SSK,"Men's Mass Start",BEL,KOR,KOR
beijing-2022,speed-skating,SSK,"Men's Team Pursuit",NOR,ROC,USA
beijing-2022,speed-skating,SSK,"Women's 1000m",JPN,NED,USA
beijing-2022,speed-skating,SSK,"Women's 1500m",NED,JPN,NED
beijing-2022,speed-skating,SSK,"Women's 3000m",NED,ITA,CAN
beijing-2022,speed-skating,SSK,"Women's 5000m",NED,CAN,CZE
beijing-2022,speed-skating,SSK,"Women's 500m",USA,JPN,ROC
beijing-2022,speed-skating,SSK,"Women's Mass Start",NED,CAN,ITA
